Appetizer,Entrée ,Dessert
condiment,snack food,meat
prepared food,fruit,snack food
snack food,condiment,fruit
meat,meat,snack food
vegetable,seafood,condiment
meat,seafood,fruit
seafood,meat,condiment
vegetable,seafood,fruit
vegetable,pasta,fruit
condiment,prepared food,cheese
condiment,vegetable,fruit
meat,vegetable,nuts
fruit,condiment,condiment
prepared food,seafood,meat
cheese,fruit,grain
vegetable,fruit,snack food
meat,vegetable,snack food
nuts,breakfast,snack food
seafood,fruit,beverage
vegetable,vegetable,snack food
seafood,vegetable,fruit
fruit,bread,prepared food
vegetable,vegetable,fruit
seafood,vegetable,fruit
meat,seafood,fruit
fruit,vegetable,snack food
fruit,vegetable,bread
fruit,condiment,prepared food
fruit,vegetable,nuts
fruit,cheese,fruit
vegetable,fruit,vegetable
grain,vegetable,prepared food
vegetable,pasta,fruit
bread,condiment,cheese
meat,snack food,nuts
vegetable,fruit,grain
bread,alcohol,snack food
seafood,vegetable,vegetable
fruit,cheese,spice
condiment,cheese,prepared food
snack food,fruit,alcohol
beverage,snack food,prepared food
vegetable,vegetable,vegetable
vegetable,snack food,snack food
meat,vegetable,meat
seafood,fruit,fruit
seafood,meat,fruit
seafood,meat,fruit
meat,pasta,condiment
vegetable,snack food,spice
fruit,snack food,snack food
fruit,grain,meat alternative
snack food,condiment,fruit
fruit,meat,bread
cheese,fruit,fruit
vegetable,vegetable,fruit
snack food,fruit,fruit
cheese,vegetable,condiment
fruit,vegetable,fruit
alcohol,cheese,cheese
meat,fruit,snack food
prepared food,snack food,nuts
condiment,vegetable,alcohol
spice,snack food,fruit
vegetable,fruit,fruit
prepared food,snack food,cheese
meat,vegetable,spice
cheese,vegetable,dairy
vegetable,condiment,condiment
vegetable,snack food,meat
fruit,fruit,cheese
beverage,fruit,fruit
prepared food,vegetable,fruit
vegetable,snack food,dairy
vegetable,fruit,prepared food
vegetable,vegetable,condiment
alcohol,vegetable,condiment
cheese,fruit,prepared food
meat,beverage,dairy
snack food,vegetable,cheese
prepared food,pasta,condiment
fruit,condiment,spice
vegetable,vegetable,breakfast
seafood,vegetable,fruit
meat,vegetable,fruit
bread,cheese,nuts
fruit,vegetable,prepared food
fruit,meat,dairy
fruit,alcohol,fruit
vegetable,vegetable,beverage
vegetable,alcohol,fruit
condiment,condiment,fruit
vegetable,vegetable,fruit
vegetable,vegetable,prepared food
snack food,prepared food,alcohol
vegetable,meat,meat alternative
alcohol,eggs,cheese
vegetable,vegetable,beverage
vegetable,vegetable,cheese
fruit,vegetable,cheese
seafood,grain,nuts
vegetable,grain,fruit
seafood,vegetable,cheese
vegetable,vegetable,nuts
condiment,alcohol,snack food
vegetable,vegetable,snack food
fruit,vegetable,alcohol
vegetable,vegetable,grain
prepared food,fruit,nuts
condiment,fruit,condiment
beverage,snack food,condiment
vegetable,vegetable,snack food
vegetable,prepared food,spice
snack food,meat,beverage
fruit,vegetable,fruit
bread,spice,cheese
vegetable,seafood,dairy
seafood,seafood,fruit
bread,vegetable,fruit
vegetable,vegetable,snack food
prepared food,nuts,fruit
fruit,vegetable,fruit
cheese,alcohol,spice
vegetable,vegetable,bread
alcohol,vegetable,nuts
snack food,meat,vegetable
vegetable,cheese,fruit
vegetable,vegetable,grain
fruit,vegetable,vegetable
fruit,condiment,fruit
nuts,alcohol,fruit
vegetable,fruit,fruit
fruit,vegetable,snack food
cheese,vegetable,dairy
condiment,fruit,snack food
vegetable,vegetable,prepared food
vegetable,alcohol,dairy
fruit,vegetable,spice
alcohol,vegetable,nuts
vegetable,alcohol,grain
beverage,vegetable,vegetable
fruit,beverage,fruit
snack food,snack food,spice
vegetable,seafood,condiment
snack food,meat,grain
fruit,vegetable,condiment
vegetable,beverage,snack food
meat,vegetable,prepared food
fruit,condiment,alcohol
vegetable,beverage,fruit
vegetable,vegetable,snack food
vegetable,condiment,alcohol
fruit,vegetable,prepared food
grain,vegetable,vegetable
fruit,prepared food,fruit
vegetable,fruit,fruit
vegetable,cheese,fruit
vegetable,alcohol,cheese
meat,vegetable,dairy
fruit,vegetable,dairy
vegetable,vegetable,grain
fruit,vegetable,fruit
vegetable,beverage,cheese
fruit,vegetable,fruit
vegetable,vegetable,bread
fruit,vegetable,dairy
vegetable,seafood,condiment
vegetable,alcohol,snack food
vegetable,vegetable,beverage
vegetable,seafood,snack food
prepared food,condiment,nuts
vegetable,condiment,snack food
alcohol,grain,snack food
condiment,alcohol,beverage
vegetable,alcohol,vegetable
nuts,meat,condiment
vegetable,vegetable,alcohol
condiment,nuts,alcohol
spice,vegetable,fruit
beverage,vegetable,fruit
fruit,condiment,breakfast
fruit,snack food,nuts
alcohol,grain,beverage
alcohol,condiment,cheese
seafood,prepared food,grain
vegetable,fruit,snack food
vegetable,seafood,nuts
vegetable,vegetable,fruit
vegetable,vegetable,alcohol
seafood,seafood,snack food
vegetable,vegetable,prepared food
meat,vegetable,pasta
spice,meat,beverage
condiment,condiment,vegetable
vegetable,vegetable,condiment
condiment,vegetable,fruit
fruit,vegetable,fruit
vegetable,vegetable,fruit
fruit,vegetable,fruit
vegetable,cheese,fruit
alcohol,condiment,fruit
vegetable,vegetable,fruit
bread,condiment,fruit
nuts,fruit,vegetable
vegetable,vegetable,snack food
vegetable,vegetable,nuts
vegetable,snack food,prepared food
snack food,meat,snack food
prepared food,condiment,prepared food
fruit,cheese,nuts
snack food,prepared food,fruit
vegetable,nuts,bread
vegetable,fruit,condiment
vegetable,snack food,eggs
fruit,vegetable,condiment
vegetable,vegetable,condiment
alcohol,beverage,snack food
prepared food,snack food,bread
seafood,vegetable,condiment
prepared food,fruit,fruit
seafood,vegetable,fruit
snack food,vegetable,spice
snack food,snack food,cheese
fruit,vegetable,fruit
prepared food,vegetable,vegetable
prepared food,vegetable,beverage
cheese,vegetable,snack food
prepared food,vegetable,snack food
beverage,vegetable,fruit
alcohol,snack food,snack food
vegetable,meat,breakfast
vegetable,condiment,snack food
meat,cheese,fruit
pasta,vegetable,dairy
vegetable,vegetable,grain
vegetable,meat,condiment
vegetable,vegetable,beverage
vegetable,vegetable,vegetable
vegetable,vegetable,condiment
snack food,prepared food,snack food
grain,vegetable,cheese
vegetable,alcohol,snack food
fruit,snack food,cheese
fruit,fruit,snack food
vegetable,breakfast,condiment
vegetable,meat,nuts
vegetable,alcohol,nuts
vegetable,vegetable,prepared food
meat,alcohol,snack food
bread,condiment,meat
prepared food,prepared food,snack food
vegetable,condiment,snack food
fruit,meat,condiment
meat,nuts,fruit
snack food,vegetable,bread
vegetable,cheese,fruit
vegetable,fruit,snack food
vegetable,vegetable,nuts
meat alternative,prepared food,cheese
nuts,vegetable,cheese
condiment,vegetable,breakfast
vegetable,vegetable,nuts
fruit,vegetable,condiment
fruit,vegetable,fruit
prepared food,vegetable,snack food
fruit,vegetable,beverage
seafood,prepared food,spice
fruit,cheese,fruit
fruit,vegetable,alcohol
snack food,snack food,condiment
beverage,prepared food,nuts
vegetable,prepared food,condiment
fruit,bread,condiment
condiment,cheese,cheese
fruit,snack food,meat
bread,prepared food,snack food
vegetable,meat,snack food
bread,vegetable,spice
fruit,meat alternative,fruit
vegetable,vegetable,condiment
bread,condiment,snack food
vegetable,vegetable,condiment
fruit,vegetable,prepared food
condiment,meat,fruit
meat,seafood,snack food
alcohol,vegetable,fruit
seafood,condiment,condiment
eggs,condiment,prepared food
prepared food,vegetable,alcohol
vegetable,snack food,condiment
condiment,meat,snack food
meat,meat,meat
vegetable,vegetable,snack food
vegetable,snack food,prepared food
vegetable,vegetable,prepared food
eggs,alcohol,snack food
prepared food,snack food,snack food
vegetable,vegetable,snack food
snack food,prepared food,fruit
vegetable,vegetable,condiment
prepared food,fruit,snack food
vegetable,condiment,nuts
meat,vegetable,snack food
prepared food,fruit,fruit
vegetable,vegetable,vegetable
vegetable,pasta,snack food
alcohol,cheese,prepared food
cheese,vegetable,snack food
vegetable,vegetable,fruit
fruit,vegetable,fruit
meat,alcohol,prepared food
prepared food,snack food,fruit
fruit,prepared food,snack food
fruit,snack food,snack food
beverage,vegetable,fruit
prepared food,snack food,dairy
fruit,snack food,dairy
prepared food,meat,eggs
snack food,vegetable,condiment
condiment,vegetable,condiment
vegetable,prepared food,prepared food
pasta,grain,fruit
snack food,vegetable,condiment
condiment,fruit,alcohol
vegetable,fruit,fruit
vegetable,vegetable,snack food
prepared food,pasta,snack food
fruit,fruit,condiment
condiment,vegetable,breakfast
vegetable,fruit,grain
fruit,snack food,cheese
snack food,prepared food,snack food
bread,vegetable,beverage
prepared food,vegetable,prepared food
vegetable,vegetable,fruit
prepared food,pasta,snack food
bread,break,beverage
prepared food,fruit,fruit
alcohol,alcohol,snack food
snack food,snack food,fruit
snack food,vegetable,fruit
snack food,spice,vegetable
meat,prepared food,snack food
vegetable,vegetable,snack food
meat,prepared food,fruit
prepared food,prepared food,grain
vegetable,vegetable,snack food
fruit,cheese,condiment
vegetable,vegetable,fruit
vegetable,prepared food,prepared food
prepared food,vegetable,nuts
vegetable,alcohol,dairy
bread,vegetable,condiment
prepared food,prepared food,condiment
prepared food,vegetable,condiment
alcohol,snack food,alcohol
vegetable,seafood,fruit
condiment,snack food,fruit
fruit,fruit,nuts
condiment,vegetable,snack food
condiment,vegetable,condiment
meat,prepared food,snack food
condiment,vegetable,prepared food
condiment,vegetable,prepared food
snack food,vegetable,snack food
vegetable,condiment,fruit
condiment,vegetable,condiment
vegetable,vegetable,prepared food
vegetable,beverage,snack food
snack food,meat,cheese
fruit,fruit,snack food
snack food,seafood,condiment
vegetable,alcohol,condiment
dairy,vegetable,vegetable
fruit,vegetable,snack food
condiment,vegetable,condiment
condiment,cheese,spice
fruit,prepared food,fruit
meat,fruit,fruit
vegetable,vegetable,fruit
seafood,alcohol,spice
prepared food,prepared food,alcohol
snack food,condiment,prepared food
condiment,prepared food,fruit
alcohol,prepared food,breakfast
seafood,snack food,prepared food
grain,alcohol,beverage
prepared food,vegetable,fruit
prepared food,vegetable,seafood
vegetable,prepared food,breakfast
condiment,vegetable,meat
meat,dairy,beverage
beverage,prepared food,fruit
vegetable,fruit,condiment
seafood,vegetable,fruit
vegetable,vegetable,fruit
seafood,fruit,dairy
vegetable,snack food,fruit
vegetable,vegetable,snack food
prepared food,snack food,grain
condiment,condiment,grain
vegetable,beverage,meat
vegetable,vegetable,prepared food
prepared food,meat,alcohol
vegetable,prepared food,beverage
alcohol,meat,condiment
fruit,meat,snack food
vegetable,alcohol,condiment
alcohol,vegetable,fruit
fruit,fruit,fruit
prepared food,vegetable,fruit
beverage,snack food,fruit
condiment,beverage,beverage
vegetable,meat,grain
condiment,prepared food,prepared food
prepared food,bread,fruit
vegetable,snack food,snack food
vegetable,vegetable,dairy
fruit,alcohol,fruit
meat,vegetable,prepared food
vegetable,prepared food,snack food
eggs,nuts,nuts
vegetable,vegetable,fruit
vegetable,meat,fruit
condiment,vegetable,beverage
cheese,vegetable,fruit
vegetable,vegetable,snack food
condiment,meat,condiment
fruit,vegetable,cheese
vegetable,fruit,fruit
vegetable,fruit,grain
seafood,fruit,alcohol
snack food,vegetable,snack food
condiment,condiment,condiment
spice,prepared food,alcohol
pasta,condiment,snack food
prepared food,pasta,condiment
fruit,fruit,snack food
vegetable,vegetable,vegetable
bread,vegetable,cheese
beverage,snack food,fruit
fruit,meat,fruit
vegetable,nuts,condiment
fruit,vegetable,vegetable
prepared food,meat,cheese
alcohol,snack food,condiment
fruit,prepared food,condiment
prepared food,snack food,fruit
vegetable,vegetable,condiment
seafood,vegetable,prepared food
fruit,vegetable,dairy
fruit,snack food,beverage
vegetable,vegetable,condiment
snack food,alcohol,alcohol
vegetable,beverage,condiment
prepared food,prepared food,vegetable
fruit,vegetable,snack food
condiment,fruit,fruit
fruit,prepared food,prepared food
snack food,eggs,cheese
snack food,fruit,snack food
vegetable,prepared food,fruit
vegetable,pasta,snack food
alcohol,vegetable,dairy
bread,vegetable,beverage
prepared food,vegetable,snack food
meat,vegetable,alcohol
vegetable,cheese,condiment
vegetable,snack food,condiment
seafood,pasta,snack food
vegetable,alcohol,beverage
fruit,beverage,bread
prepared food,fruit,prepared food
alcohol,vegetable,fruit
vegetable,fruit,snack food
alcohol,vegetable,nuts
prepared food,grain,fruit
meat,vegetable,snack food
snack food,alcohol,snack food
pasta,fruit,fruit
fruit,vegetable,vegetable
meat,vegetable,snack food
eggs,fruit,cheese
vegetable,vegetable,bread
vegetable,vegetable,snack food
prepared food,vegetable,prepared food
pasta,snack food,condiment
condiment,meat,seafood
fruit,prepared food,snack food
prepared food,alcohol,meat
prepared food,condiment,fruit
vegetable,nuts,fruit
prepared food,prepared food,fruit
meat,eggs,fruit
vegetable,prepared food,snack food
prepared food,fruit,prepared food
prepared food,snack food,snack food
bread,vegetable,vegetable
vegetable,vegetable,alcohol
vegetable,nuts,snack food
fruit,vegetable,prepared food
vegetable,beverage,snack food
vegetable,condiment,fruit
vegetable,grain,eggs
fruit,vegetable,vegetable
vegetable,prepared food,fruit
snack food,vegetable,beverage
snack food,vegetable,snack food
prepared food,prepared food,nuts
prepared food,fruit,alcohol
vegetable,snack food,fruit
snack food,vegetable,condiment
eggs,vegetable,snack food
vegetable,snack food,prepared food
meat,bread,snack food
eggs,prepared food,cheese
vegetable,vegetable,beverage
dairy,dairy,snack food
fruit,dairy,beverage
eggs,alcohol,alcohol
fruit,prepared food,fruit
snack food,meat,snack food
vegetable,vegetable,snack food
meat,prepared food,nuts
vegetable,vegetable,alcohol
prepared food,vegetable,snack food
prepared food,prepared food,snack food
condiment,eggs,condiment
vegetable,spice,dairy
fruit,vegetable,fruit
vegetable,beverage,vegetable
vegetable,vegetable,alcohol
meat,meat,prepared food
fruit,seafood,snack food
meat,vegetable,condiment
condiment,prepared food,vegetable
condiment,bread,fruit
condiment,meat,vegetable
prepared food,vegetable,cheese
seafood,prepared food,fruit
prepared food,prepared food,snack food
nuts,vegetable,snack food
condiment,meat,condiment
condiment,vegetable,nuts
vegetable,vegetable,fruit
vegetable,vegetable,fruit
meat,vegetable,condiment
alcohol,vegetable,fruit
vegetable,snack food,fruit
fruit,prepared food,alcohol
fruit,fruit,prepared food
prepared food,snack food,dairy
vegetable,meat,fruit
prepared food,alcohol,fruit
vegetable,vegetable,prepared food
meat,snack food,fruit
vegetable,snack food,grain
vegetable,fruit,beverage
snack food,nuts,fruit
alcohol,fruit,snack food
vegetable,prepared food,fruit
fruit,vegetable,alcohol
vegetable,cheese,bread
grain,condiment,snack food
snack food,condiment,snack food
prepared food,fruit,fruit
condiment,vegetable,fruit
vegetable,vegetable,fruit
vegetable,fruit,snack food
alcohol,meat,snack food
condiment,snack food,beverage
vegetable,fruit,snack food
vegetable,vegetable,snack food
vegetable,vegetable,snack food
vegetable,vegetable,meat
beverage,vegetable,beverage
vegetable,vegetable,condiment
vegetable,vegetable,fruit
spice,condiment,fruit
breakfast,fruit,nuts
fruit,condiment,nuts
vegetable,dairy,vegetable
fruit,fruit,alcohol
fruit,beverage,fruit
fruit,seafood,meat
cheese,vegetable,vegetable
snack food,fruit,fruit
fruit,fruit,snack food
meat,spice,fruit
meat,vegetable,alcohol
fruit,fruit,condiment
prepared food,fruit,condiment
vegetable,fruit,vegetable
meat,alcohol,fruit
snack food,fruit,spice
bread,meat,fruit
vegetable,grain,alcohol
seafood,vegetable,vegetable
condiment,alcohol,fruit
seafood,fruit,cheese
snack food,vegetable,meat
seafood,fruit,beverage
seafood,meat,beverage
seafood,vegetable,fruit
meat,vegetable,vegetable
beverage,fruit,grain
snack food,condiment,snack food
alcohol,seafood,snack food
seafood,meat,condiment
meat,meat,condiment
condiment,vegetable,snack food
snack food,vegetable,fruit
meat,vegetable,breakfast
breakfast,meat,eggs
meat,fruit,fruit
seafood,cheese,snack food
vegetable,seafood,condiment
snack food,meat,meat
prepared food,beverage,snack food
meat,vegetable,bread
snack food,vegetable,vegetable
snack food,breakfast,grain
meat,snack food,snack food
seafood,vegetable,meat
vegetable,vegetable,snack food
condiment,fruit,cheese
condiment,snack food,condiment
meat,vegetable,snack food
seafood,snack food,bread
meat,vegetable,breakfast
meat,snack food,condiment
seafood,fruit,grain
vegetable,condiment,alcohol
snack food,alcohol,vegetable
meat,meat,meat
snack food,seafood,condiment
vegetable,meat,vegetable
seafood,meat,fruit
vegetable,grain,snack food
snack food,snack food,snack food
seafood,meat,vegetable
snack food,beverage,vegetable
prepared food,cheese,snack food
seafood,seafood,snack food
meat,meat,condiment
snack food,seafood,beverage
nuts,meat,vegetable
meat,vegetable,snack food
seafood,meat,prepared food
seafood,breakfast,condiment
bread,snack food,vegetable
fruit,meat,pasta
vegetable,snack food,snack food
snack food,snack food,bread
spice,snack food,vegetable
condiment,snack food,condiment
meat,meat,vegetable
prepared food,vegetable,snack food
prepared food,snack food,snack food
snack food,condiment,snack food
prepared food,seafood,vegetable
prepared food,meat,prepared food
meat,seafood,alcohol
meat,condiment,prepared food
condiment,meat,grain
meat,snack food,snack food
meat,vegetable,prepared food
meat alternative,meat,snack food
seafood,seafood,alcohol
condiment,meat,cheese
meat,seafood,meat
fruit,snack food,condiment
vegetable,vegetable,dairy
meat,snack food,dairy
meat,cheese,cheese
prepared food,snack food,condiment
fruit,prepared food,snack food
condiment,vegetable,bread
meat,meat,fruit
meat,snack food,vegetable
prepared food,vegetable,eggs
vegetable,meat,snack food
fruit,nuts,cheese
snack food,snack food,dairy
snack food,grain,grain
snack food,meat,snack food
condiment,condiment,cheese
fruit,meat,alcohol
seafood,meat,cheese
vegetable,snack food,spice
fruit,fruit,meat
condiment,alcohol,beverage
fruit,snack food,dairy
snack food,condiment,condiment
condiment,prepared food,snack food
dairy,meat,vegetable
snack food,snack food,vegetable
cheese,eggs,fruit
snack food,grain,meat
meat,prepared food,snack food
vegetable,fruit,pasta
vegetable,meat,snack food
snack food,grain,snack food
vegetable,alcohol,prepared food
vegetable,vegetable,snack food
prepared food,condiment,snack food
prepared food,condiment,snack food
fruit,snack food,fruit
vegetable,snack food,snack food
vegetable,snack food,snack food
vegetable,fruit,beverage
prepared food,meat,vegetable
seafood,fruit,condiment
meat,prepared food,spice
beverage,prepared food,pasta
vegetable,alcohol,vegetable
meat,beverage,condiment
condiment,snack food,alcohol
vegetable,pasta ,meat
meat,condiment,bread
snack food,meat,snack food
snack food,seafood,fruit
snack food,vegetable,snack food
snack food,vegetable,condiment
seafood,fruit,snack food
beverage,vegetable,condiment
beverage,meat,nuts
fruit,condiment,condiment
alcohol,vegetable,vegetable
condiment,alcohol,vegetable
vegetable,vegetable,cheese
meat,condiment,snack food
fruit,beverage,beverage
snack food,condiment,alcohol
vegetable,snack food,cheese
seafood,vegetable,snack food
prepared food,beverage,snack food
breakfast,alcohol,condiment
meat,prepared food,fruit
snack food,snack food,fruit
dairy,fruit,snack food
meat,meat alternative,snack food
seafood,cheese,breakfast
prepared food,grain,spice
meat,meat,condiment
seafood,meat,nuts
meat,prepared food,meat
beverage,snack food,snack food
condiment,cheese,condiment
prepared food,vegetable,prepared food
meat,snack food,snack food
condiment,vegetable,seafood
seafood,meat,vegetable
vegetable,snack food,snack food
alcohol,snack food,condiment
fruit,grain,snack food
bread,vegetable,condiment
snack food,alcohol,fruit
beverage,snack food,snack food
beverage,snack food,snack food
seafood,fruit,prepared food
bread,meat,prepared food
bread,meat alternative,prepared food
snack food,snack food,condiment
meat alternative,condiment,snack food
meat,beverage,beverage
pasta,seafood,condiment
meat,snack food,condiment
vegetable,seafood,snack food
condiment,vegetable,nuts
snack food,fruit,meat alternative
condiment,snack food,condiment
snack food,snack food,condiment
prepared food,snack food,snack food
snack food,snack food,condiment
snack food,prepared food,snack food
snack food,snack food,snack food
snack food,prepared food,breakfast
snack food,beverage,meat
vegetable,snack food,dairy
condiment,fruit,beverage
alcohol,prepared food,snack food
beverage,alcohol,snack food
dairy,snack food,snack food
snack food,seafood,cheese
prepared food,vegetable,fruit
alcohol,beverage,nuts
vegetable,vegetable,fruit
condiment,alcohol,prepared food
condiment,condiment,snack food
seafood,vegetable,nuts
nuts,fruit,fruit
bread,seafood,snack food
fruit,meat,fruit
prepared food,prepared food,fruit
meat,snack food,fruit
vegetable,condiment,snack food
cheese,eggs,breakfast
prepared food,fruit,snack food
snack food,fruit,fruit
snack food,meat,snack food
snack food,snack food,beverage
bread,snack food,snack food
vegetable,prepared food,alcohol
meat,seafood,alcohol
vegetable,alcohol,condiment
grain,fruit,snack food
prepared food,condiment,condiment
snack food,condiment,prepared food
meat alternative,vegetable,condiment
snack food,condiment,meat
snack food,meat,alcohol
vegetable,condiment,nuts
prepared food,fruit,fruit
meat,vegetable,snack food
meat,condiment,vegetable
prepared food,condiment,fruit
prepared food,prepared food,snack food
condiment,alcohol,condiment
prepared food,spice,fruit
fruit,vegetable,alcohol
prepared food,vegetable,condiment
prepared food,vegetable,condiment
fruit,alcohol,condiment
meat,beverage,snack food
seafood,condiment,snack food
meat,grain,snack food
prepared food,meat,prepared food
vegetable,vegetable,breakfast
meat,vegetable,snack food
nuts,vegetable,nuts
fruit,condiment,snack food
vegetable,dairy,snack food
snack food,prepared food,prepared food
vegetable,vegetable,fruit
seafood,beverage,snack food
seafood,fruit,prepared food
prepared food,vegetable,prepared food
snack food,snack food,condiment
eggs,vegetable,alcohol
fruit,snack food,prepared food
snack food,vegetable,prepared food
condiment,meat,condiment
prepared food,vegetable,cheese
prepared food,vegetable,snack food
seafood,alcohol,condiment
prepared food,condiment,condiment
vegetable,meat,alcohol
prepared food,grain,snack food
vegetable,vegetable,eggs
vegetable,fruit,condiment
vegetable,snack food,spice
prepared food,snack food,fruit
prepared food,vegetable,snack food
pasta,snack food,condiment
vegetable,meat,spice
dairy,prepared food,vegetable
snack food,prepared food,prepared food
prepared food,vegetable,snack food
prepared food,snack food,condiment
fruit,prepared food,nuts
seafood,condiment,fruit
prepared food,breakfast,vegetable
vegetable,condiment,beverage
prepared food,prepared food,prepared food
prepared food,alcohol,snack food
snack food,nuts,snack food
alcohol,fruit,alcohol
condiment,vegetable,snack food
prepared food,vegetable,snack food
fruit,condiment,snack food
seafood,beverage,snack food
beverage,seafood,alcohol
meat,fruit,alcohol
condiment,alcohol,fruit
condiment,prepared food,spice
alcohol,prepared food,breakfast
condiment,dairy,condiment
prepared food,snack food,condiment
prepared food,alcohol,snack food
seafood,prepared food,snack food
beverage,snack food,nuts
dairy,fruit,prepared food
meat,vegetable,alcohol
dairy,vegetable,prepared food
snack food,snack food,snack food
condiment,prepared food,snack food
seafood,prepared food,beverage
seafood,breakfast,fruit
vegetable,prepared food,snack food
fruit,alcohol,fruit
snack food,vegetable,grain
fruit,spice,beverage
condiment,meat,nuts
prepared food,prepared food,alcohol
bread,snack food,snack food
condiment,meat,grain
pasta,dairy,fruit
prepared food,fruit,fruit
seafood,vegetable,fruit
meat,prepared food,meat
meat,snack food,alcohol
prepared food,snack food,condiment
cheese,meat,alcohol
seafood,alcohol,meat
meat,seafood,condiment
bread,vegetable,alcohol
meat,meat,dairy
prepared food,meat,vegetable
snack food,fruit,beverage
seafood,fruit,breakfast
fruit,meat,vegetable
meat,vegetable,vegetable
meat,meat,beverage
snack food,beverage,fruit
meat,alcohol,fruit
alcohol,prepared food,snack food
prepared food,snack food,snack food
condiment,alcohol,snack food
breakfast,vegetable,snack food
snack food,meat,bread
fruit,vegetable,snack food
condiment,snack food,snack food
vegetable,vegetable,alcohol
prepared food,vegetable,fruit
meat,vegetable,nuts
meat,meat,breakfast
meat,alcohol,beverage
vegetable,snack food,nuts
prepared food,snack food,beverage
fruit,prepared food,snack food
alcohol,snack food,cheese
snack food,meat,snack food
beverage,prepared food,bread
seafood,seafood,prepared food
pasta,vegetable,fruit
pasta,vegetable,snack food
dairy,snack food,beverage
alcohol,seafood,snack food
beverage,vegetable,snack food
pasta,condiment,prepared food
prepared food,alcohol,fruit
prepared food,seafood,snack food
prepared food,meat,nuts
dairy,pasta,snack food
prepared food,prepared food,dairy
condiment,prepared food,beverage
prepared food,snack food,fruit
prepared food,meat,snack food
vegetable,vegetable,alcohol
fruit,prepared food,meat
beverage,meat,meat
prepared food,prepared food,beverage
snack food,snack food,meat
snack food,meat,fruit
alcohol,meat,snack food
vegetable,cheese,snack food
beverage,seafood,eggs
alcohol,prepared food,snack food
meat,meat,snack food
snack food,vegetable,dairy
alcohol,prepared food,snack food
prepared food,alcohol,cheese
prepared food,condiment,snack food
prepared food,meat,meat
seafood,vegetable,fruit
seafood,meat,beverage
prepared food,cheese,fruit
alcohol,vegetable,spice
prepared food,pasta,vegetable
snack food,vegetable,beverage
meat,pasta,spice
prepared food,pasta,fruit
snack food,prepared food,fruit
prepared food,vegetable,snack food
vegetable,prepared food,alcohol
vegetable,vegetable,snack food
condiment,beverage,nuts
condiment,fruit,snack food
meat,vegetable,fruit
meat,prepared food,fruit
meat,cheese,snack food
prepared food,beverage,snack food
prepared food,beverage,snack food
snack food,prepared food,cheese
grain,snack food,dairy
alcohol,prepared food,alcohol
meat,prepared food,grain
beverage,vegetable,beverage
meat,fruit,eggs
meat,condiment,snack food
condiment,vegetable,fruit
meat,vegetable,snack food
seafood,snack food,alcohol
snack food,vegetable,snack food
fruit,prepared food,snack food
vegetable,vegetable,fruit
meat alternative,meat,beverage
spice,meat,snack food
fruit,meat,fruit
prepared food,prepared food,snack food
cheese,fruit,fruit
vegetable,vegetable,snack food
prepared food,prepared food,alcohol
alcohol,fruit,prepared food
snack food,vegetable,snack food
condiment,vegetable,vegetable
prepared food,meat,snack food
fruit,fruit,nuts
vegetable,vegetable,alcohol
vegetable,alcohol,snack food
meat,prepared food,snack food
meat,prepared food,eggs
vegetable,prepared food,snack food
condiment,condiment,pasta
meat,vegetable,prepared food
condiment,prepared food,vegetable
condiment,cheese,beverage
condiment,alcohol,fruit
seafood,beverage,meat
prepared food,condiment,snack food
condiment,prepared food,vegetable
snack food,meat,fruit
snack food,prepared food,snack food
meat,snack food,cheese
snack food,prepared food,snack food
snack food,prepared food,snack food
prepared food,snack food,snack food
prepared food,meat,spice
meat,beverage,snack food
vegetable,prepared food,snack food
meat,fruit,snack food
vegetable,meat,fruit
prepared food,pasta,snack food
vegetable,vegetable,alcohol
fruit,prepared food,fruit
prepared food,vegetable,condiment
prepared food,prepared food,fruit
prepared food,prepared food,vegetable
vegetable,prepared food,condiment
vegetable,snack food,bread
condiment,snack food,snack food
beverage,condiment,fruit
beverage,alcohol,snack food
vegetable,beverage,fruit
seafood,alcohol,alcohol
meat,prepared food,beverage
meat,vegetable,snack food
prepared food,condiment,meat
seafood,meat,prepared food
prepared food,meat,snack food
prepared food,condiment,snack food
snack food,prepared food,beverage
condiment,prepared food,beverage
prepared food,prepared food,breakfast
prepared food,snack food,alcohol
prepared food,prepared food,fruit
cheese,meat,condiment
fruit,vegetable,spice
meat,alcohol,fruit
vegetable,meat,prepared food
prepared food,seafood,breakfast
bread,vegetable,prepared food
beverage,eggs,snack food
prepared food,prepared food,snack food
prepared food,prepared food,prepared food
prepared food,prepared food,condiment
vegetable,bread,prepared food
prepared food,prepared food,snack food
meat,eggs,snack food
snack food,prepared food,meat
snack food,snack food,fruit
meat,vegetable,fruit
fruit,snack food,snack food
meat,fruit,breakfast
prepared food,prepared food,condiment
meat,prepared food,condiment
bread,condiment,prepared food
snack food,condiment,beverage
prepared food,prepared food,alcohol
snack food,vegetable,cheese
snack food,meat,condiment
condiment,vegetable,breakfast
meat,snack food,snack food
prepared food,snack food,grain
condiment,seafood,snack food
prepared food,breakfast,snack food
prepared food,meat,condiment
meat alternative,snack food,prepared food
snack food,prepared food,prepared food
beverage,cheese,condiment
vegetable,prepared food,snack food
fruit,prepared food,prepared food
fruit,prepared food,snack food
condiment,fruit,condiment
vegetable,fruit,snack food
condiment,prepared food,alcohol
prepared food,prepared food,condiment
